Название вакансии,Название компании,Зарплата,Ссылка
Консультант-аналитик 1С,GITS,"до 150 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/118908612?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-электроник,ГУ МЧС России по Томской области,"31 000 – 35 000 ₽ за месяц, до вычета налогов",https://tomsk.hh.ru/vacancy/117655848?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий аналитик-консультант 1С,Головное подразделение Сибагро,"117 000 – 175 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119959247?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик/Методист образовательных программ,Деловой партнер охраны труда,"от 60 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119939089?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер - схемотехник,Cognitive Pilot,Не указана,https://tomsk.hh.ru/vacancy/118525164?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Logistics intern / Стажер дистрибьюторского центра,ООО Procter&Gamble - Новомосковск,"от 100 000 ₽ за месяц, до вычета налогов",https://tomsk.hh.ru/vacancy/119417273?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Javascript (React) разработчик (офис),ООО Совкомбанк Технологии,Не указана,https://tomsk.hh.ru/vacancy/119890129?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по встраиваемым системам (Embedded developer),Алабуга. Проектный менеджмент,"от 157 500 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119690805?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"Армада, группа компаний","от 90 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119671631?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по встраиваемым системам (Embedded developer),Алабуга. Проектный менеджмент,"от 127 500 ₽ за месяц, до вычета налогов",https://tomsk.hh.ru/vacancy/114921878?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"Армада, группа компаний","от 90 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119671344?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
UX/UI-дизайнер,Академия Data-Diving,"до 70 000 ₽ за месяц, до вычета налогов",https://tomsk.hh.ru/vacancy/119799504?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"Армада, группа компаний","от 90 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119671741?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Real-Time Video Streaming Developer,Алабуга. Проектный менеджмент,"от 277 500 ₽ за месяц, до вычета налогов",https://tomsk.hh.ru/vacancy/118624754?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Руководитель группы / группа программного обеспечения,Газпром межрегионгаз,Не указана,https://tomsk.hh.ru/vacancy/119792424?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
